French,Fon
Mon père,Tɔ ce
Mettez-vous en rang.,Mi tò miɖéé
Son doigt lui fait mal.,Alɔvi tɔn ɖo vivɛ wɛ
La pluie a commencé.,Jì bɛ́
Les garçons et les filles sont au cours élémentaire .,Nyɔnu lε kpo sunnu lε kpo ɖo wemaxomε ayi jε tɔn mε
Je me rappelle l'avoir acheté ici,Un flin ɖɔ un xɔ ɖo fi.
"Il l’a fait, bien sûr.",E bló hŭn
Mets l’enfant sur ton dos.,Kpan vì ɔ̀ dó nɛ̀gbé
Nous irons ensemble.,Mì ná yì ɖò kpɔ́
Je suis en retard à cause de la pluie.,Jì wɛ́ zɔ́n bɔ̀ un gbɔ hwenu
"Toi et ta femme, êtes-vous professeurs ?",We kpo do asi towe kpo nukplɔnmɛ tɔwe mi nyi a ?
Une leçon spéciale,Nukplɔnkplɔn vo
C'est très bien.,E nyɔ́ ɖésú
Leurs devoirs sont bien écrits.,Azɔ yetɔn nyi wiwlan ganji
Il était minuit quand il est arrivé à la maison.,Zàn vlɔ́ ɖó wè b’ɛ́ wá xwé
Des pas retentissent dans l’escalier,Afɔ ɖe lε ɖigbe ɖo escalier ɔ mε.
Les confitures sont délicieuses.,Ja lɛ vivi tawun
"Chaque soir, Noah savait qu'il était guetté.","Gbadanu tɛgbɛ ɔ, Noah tuun ɖɔ e nɔ cɛ emi"
C'est le destin qui l'a donné.,Sɛ́ wɛ́ ná
Les gens parlent tellement vite,Mε lε nɔ ya wu dɔ xo.
C'est mon enfant.,Vi nyɛtɔn wɛ
"Demain matin, nous prendrons le départ.","Sɔ̀ zănzăn, mì nà fɛ́ dó"
Guérir (arrêter la maladie),Gbɔ azɔn
Il n’y en a pas.,E ɖè ă
Tu n'aurais rien à perdre et tu pourrais peut-être avoir beaucoup à gagner.,Nu ti na gu we a bo a si na ɖo mɔ akwɛ gege
salle,agbà - xɔ̀
As-tu marchandé avec elle ?,A dɔ̀n x'ɛ́ à ?
fouler,gbìdí - zĭn
à l'envers,agɔ̀ - agwὲ - takpédò
Je ne suis pas sorti parce que mon papa est présent.,Un tɔn a ɖo tɔ ce ɖo finɛ
Oublies-tu que la loi de Dieu défend de prendre le bien d'autrui ? ,A wɔn ɖɔ Mawu sεn ɔ gbe ɖɔ enε ma ze mε ɖevo sin nu ɔ wε ă ?
Elle a vendu cher.,E sà axi vivɛ́ tɔ̀n
Ils leur sautent au cou,E lɔn kpla kɔ nu ye
"Lorsqu’il sera fatigué de rester debout, il s’en ira.","Afɔ ko kú yí ɔ́, é ná yì"
Nous allons nous séparer ici.,Mì nà klán ɖò fí
Nul n'a jamais vu Dieu.,Mɛɖé mɔ̀ Măwù kpɔ́n gbeɖé ă
marcher pieds nus,zɔ̀n afɔ vɔ́
Je suis déjà allé donner la demande de main pour ma femme.,Un ko yi ná gbeyihán nú asi cè
Et se blesse aux genoux.,Bo gble wu ɖo kpoli
Kofi a travaillé pour que sa femme ait de l'argent.,Kofi w'azɔ bo nu asi tɔn na mɔ kwɛ
De qui sont ces traces de pas ?,Afɔdo mɛ tɔ́n ká ɖíè ?
L’Afrique est vaste.,Mɛwigbejí d’ágbà
Il fait trop le prétentieux.,E nɔ́ ɖú gangannagansú dín
Regardez bien les allées avant de passer dans le marché de Tokpa.,Mi vɛ́ nɔ kpɔn ayí ganji bo gbɔn Tɔkpa xi ɔ mɛ
Farine de mil,Gali abɔkun tɔn
Sa mort subite m’a surpris.,É kú fyán mì
Je ne connais que peu de choses sur sa vie,Un tuun nu gege ɖo gbε tɔn ji a.
Il se penche au-dessus de la table,E gban ɖo tavo ɔ ta.
Grand-mère aime tricoter .,Nɔnɔ yi wan nu kan lilɔn
un homme du vieux temps,gbεtɔ́ jixómε tɔ̀n
se déplacer en poussant,sὲ dŏ
Il a été mon premier acheteur.,É kpan alɔ mì
Je n’ai plus faim.,Xo gɔ́ mì
Tu viens me voir,A wa kpɔn mi ɔ.
Ce serpent a été trouvé à Paris en 1996,Dan enε ɔ nyi mimɔ ɖo Paris ɖo 1996.
Seconde (une),Cεju ɖokpo
Téré décida un jour,Tere ze gbe ta
Va donc à la maison.,Bo wá yi xwé
Midi sonne au clocher du village,Gan wewe xo ɖo gletoxo mε.
Une heure vaut 60 minutes ,Ganxixo ɖokpo ɔ ceju kanɖe ko wε.
être paniqué,xesì jɛ̀ mɛ jĭ
Quel est ton point de vue ?,Nɛ̆ a lin gbɔn d’é wú ?
L’ouvrier range ses outils.,Azɔwatɔ ɔ ɖo azɔwanu tɔn lɛ to wɛ
Tu découperas la viande en petits morceaux.,A na já lan ɔ́ bĭ
A midi.,E yi gan wewe mɛ
"Nous allons très bien, merci.",Mi ɖo ganji e na cɛ nu we
Tu te portes bien ?,A fɔ́n ganji a ?
Lave-toi les mains.,Hwlɛ̆n àsí
effort,găn - gàndìdó - gàndùdó
Il a plu et la route est glissante.,Jĭ jà bɔ̀ ali ɔ ɖíɖí
Sois le bienvenu.,Doo nu mi
Ne cours pas !,Ma kanwezun o
verser,kɔ̀n - kɔ̀n nyì
Je fais le travail de gardien.,Găɖi’zɔ́ mɛ́ wɛ̀ un ɖè
Donne notre nourriture de chaque jour.,Na nuɖuɖu mitɔn tɛgbɛ tɔn
Je ressens une abondante salivation.,Nu ce mɛ nɔ jí atán
Tiens fermement.,Hɛn syɛ́nsyɛ́n
Le marché est animé.,Axi ɔ́ jɛ̀
se répandre en doléances,sà vò nú mε
Recommence tout.,Lɛ̆ vɔ̀ bɛ́ bìsésé
Cela durera trois jours.,E ná xɔ̀ azăn'tɔ̀n
